ID,number of incoming elements,duration of download (in ms),duration for reloading nodes (in ms),number of reloaded nodes,number of published elements for subject [all],number of published elements for subject [routing],duration for Filtering for subject [routing] (in ms),number of published elements for subject [search],duration for Filtering for subject [search] (in ms)
2022-03-03T17:09:36+01:00,2802,89,7833,5483,8285,5235,24,59,6
2022-03-03T17:10:45+01:00,851,80,8111,1859,2710,1929,11,7,3
2022-03-03T17:11:42+01:00,2400,92,5997,1370,3770,1023,9,25,3
2022-03-03T17:12:37+01:00,2283,97,4143,2437,4720,2485,12,69,4
2022-03-03T17:13:42+01:00,4012,103,4530,3726,7738,3288,19,83,8
2022-03-03T17:14:38+01:00,906,69,5555,2751,3657,1554,9,16,3
2022-03-03T17:15:36+01:00,3512,94,7155,4283,7795,1375,8,21,6
2022-03-03T17:16:42+01:00,2994,93,5403,1007,4001,630,7,99,4
2022-03-03T17:17:49+01:00,2138,81,16228,0,2138,618,7,44,1
2022-03-03T17:18:35+01:00,2619,89,4724,3366,5985,2953,14,39,4
2022-03-03T17:19:42+01:00,2287,89,6629,4717,7004,895,8,167,8
2022-03-03T17:20:49+01:00,988,72,6202,1643,2631,579,5,11,2
2022-03-03T17:21:43+01:00,1793,72,3380,688,2481,642,4,17,1
2022-03-03T17:22:54+01:00,3868,105,9516,1406,5274,1288,9,12,3
2022-03-03T17:23:59+01:00,5172,114,4559,5458,10630,1602,9,84,9
2022-03-03T17:25:05+01:00,1440,85,15648,0,1440,222,5,35,1
2022-03-03T17:25:48+01:00,3297,92,1756,2983,6280,924,6,35,5
2022-03-03T17:26:57+01:00,2712,100,8166,4910,7622,2282,12,23,6
2022-03-03T17:27:58+01:00,1554,89,10204,1323,2877,922,7,66,3
2022-03-03T17:28:51+01:00,940,64,2298,1042,1982,900,6,37,1
2022-03-03T17:30:00+01:00,2413,88,8611,521,2934,379,4,20,2
2022-03-03T17:31:07+01:00,611,60,15702,0,611,158,5,18,0
2022-03-03T17:31:52+01:00,2277,89,4979,2211,4488,900,9,171,4
2022-03-03T17:32:46+01:00,2555,91,2976,4400,6955,5103,20,81,8
2022-03-03T17:33:51+01:00,1616,70,4224,866,2482,487,3,64,3
2022-03-03T17:34:57+01:00,3192,99,5762,3067,6259,2231,12,29,5
2022-03-03T17:35:56+01:00,3169,86,7757,1254,4423,606,5,58,4
2022-03-03T17:36:49+01:00,2091,89,2425,1473,3564,746,5,121,2
2022-03-03T17:37:56+01:00,1349,93,6202,3497,4846,1964,12,182,6
2022-03-03T17:39:04+01:00,1451,61,7422,1050,2501,644,4,7,1
2022-03-03T17:40:08+01:00,7337,123,12983,5202,12539,7290,40,25,10
2022-03-03T17:41:03+01:00,3062,95,4040,2155,5217,2207,9,153,3
2022-03-03T17:42:25+01:00,1142,68,20856,1262,2404,1547,9,34,3
2022-03-03T17:43:09+01:00,2129,80,3836,1382,3511,1028,6,167,6
2022-03-03T17:44:13+01:00,1948,92,3423,2052,4000,778,6,43,4
2022-03-03T17:45:12+01:00,1272,96,8240,4330,5602,719,11,38,3
2022-03-03T17:46:11+01:00,2815,98,7765,4968,7783,2470,13,59,7
2022-03-03T17:47:07+01:00,2733,90,5478,980,3713,666,6,54,5
2022-03-03T17:48:19+01:00,2019,86,10411,885,2904,1559,8,41,2
2022-03-03T17:49:05+01:00,1882,86,5980,1671,3553,1264,8,19,3
2022-03-03T17:50:15+01:00,1062,109,9039,759,1821,683,23,102,2
2022-03-03T17:51:14+01:00,2693,119,8171,7238,9931,1166,16,32,7
2022-03-03T17:52:09+01:00,1150,68,4215,1426,2576,703,10,22,2
2022-03-03T17:53:06+01:00,605,68,6407,2678,3283,924,6,56,3
2022-03-03T17:54:17+01:00,1328,70,10289,2367,3695,547,6,88,4
2022-03-03T17:55:17+01:00,2885,103,8738,2034,4919,1271,8,118,5
2022-03-03T17:56:01+01:00,547,58,4135,1041,1588,871,6,70,1
2022-03-03T17:57:07+01:00,3033,109,4807,2297,5330,1827,12,248,7
2022-03-03T17:58:13+01:00,1300,72,5633,1356,2656,717,8,102,3
2022-03-03T17:59:24+01:00,2134,89,6303,3302,5436,1959,10,25,4
2022-03-03T18:00:20+01:00,882,63,5914,1346,2228,779,5,73,3
2022-03-03T18:01:26+01:00,1526,73,15007,0,1526,277,5,48,2
2022-03-03T18:02:34+01:00,2475,90,17215,1950,4425,726,12,57,7
2022-03-03T18:03:34+01:00,1094,68,19544,1677,2771,1812,11,52,3
2022-03-03T18:04:35+01:00,4175,104,20092,1288,5463,778,6,38,4
2022-03-03T18:05:21+01:00,2270,96,4835,1842,4112,1942,11,127,5
2022-03-03T18:06:26+01:00,1814,90,4287,2670,4484,752,7,63,4
2022-03-03T18:07:19+01:00,1182,73,2758,2078,3260,370,6,42,5
2022-03-03T18:08:28+01:00,2135,118,7695,2148,4283,1330,29,136,4
2022-03-03T18:09:29+01:00,1066,61,10928,766,1832,783,3,51,1
2022-03-03T18:10:23+01:00,1124,84,3247,1615,2739,613,5,6,2
2022-03-03T18:11:29+01:00,3817,93,5044,1646,5463,632,6,58,7
2022-03-03T18:12:24+01:00,2821,99,3721,2189,5010,1405,9,10,5
2022-03-03T18:13:32+01:00,1397,75,17865,439,1836,453,7,57,1
2022-03-03T18:14:36+01:00,1935,89,12792,1795,3730,1435,9,42,4
2022-03-03T18:15:34+01:00,2625,96,7201,1112,3737,998,13,132,3
2022-03-03T18:16:18+01:00,2427,95,3302,3897,6324,886,7,34,5
2022-03-03T18:17:24+01:00,2224,86,5162,3494,5718,1810,9,35,4
2022-03-03T18:18:29+01:00,1514,88,15127,0,1514,234,5,21,2
2022-03-03T18:19:27+01:00,2275,87,6303,1006,3281,624,5,42,2
2022-03-03T18:20:33+01:00,3091,113,5341,2500,5591,2108,30,57,8
2022-03-03T18:21:34+01:00,1823,78,9891,1499,3322,872,5,65,1
2022-03-03T18:22:39+01:00,2265,97,14911,0,2265,341,10,588,3
2022-03-03T18:23:36+01:00,1804,79,4818,2254,4058,205,2,31,5
2022-03-03T18:24:41+01:00,2309,85,4113,1653,3962,1323,7,31,3
2022-03-03T18:25:42+01:00,895,61,10645,889,1784,179,2,43,2
2022-03-03T18:26:49+01:00,2681,86,6173,3857,6538,442,4,35,6
2022-03-03T18:27:33+01:00,1291,85,3495,1148,2439,556,3,63,3
2022-03-03T18:28:38+01:00,1919,127,3873,2777,4696,2037,10,41,2
2022-03-03T18:29:42+01:00,1919,135,3169,3473,5392,3117,15,43,6
2022-03-03T18:30:58+01:00,2173,133,15625,0,2173,775,8,55,2
2022-03-03T18:31:45+01:00,2024,119,6126,1799,3823,1515,8,61,4
2022-03-03T18:32:52+01:00,3308,142,6373,1779,5087,1529,8,44,3
2022-03-03T18:33:48+01:00,1979,109,4828,1172,3151,1461,7,43,4
2022-03-03T18:34:52+01:00,1328,117,3391,2411,3739,1953,10,37,4
